,RMS ID,MSX Name,Source Type,Flux 8 (Jy),Flux 12 (Jy),Flux 14 (Jy),Flux 21 (Jy),J Mag.,H Mag.,K Mag.,VLSR (km/s),Distance (kpc),D type,FIR Lum.,Lum. Source,Freq. (GHz),Int. Flux,Random?
0,2401,G010.0718-00.4218,Rejected ,0.45299999999999996,2.855,5.28,14.3,,,,,,,,MSX,,,
1,2368,G010.0997+00.7396,PN ,3.5589999999999997,5.055,17.92,35.08,11.5,11.1,10.0,,,,,MSX,15.0,446.8,
3,2404,G010.1431-00.4234,Diffuse HII region?,1.127,4.825,7.59,24.23,,,,19.6,2.79/13.74,,6514.4/157994.4,MSX,,,
4,2392,G010.1467-00.3327,Rejected ,7.671,36.736999999999995,47.88,156.3,,,,,,,,MSX,,,
5,2405,G010.1481-00.4260,Evolved star??,1.278,1.411,2.02,3.11,8.6,6.4,5.4,,,,,MSX,,,
6,2400,G010.1615-00.3623,Diffuse HII region ,29.445999999999998,103.53,146.22,692.25,,,,14.0,3.5,Spe,301326,MSX,8.6,<4.0,
7,2402,G010.1669-00.3933,Rejected ,1.02,1.3630000000000002,0.97,6.83,,,,,,,,MSX,,,
8,2390,G010.1691-00.3022,Rejected ,0.18100000000000002,1.635,1.52,8.3,,,,,,,,MSX,,,
9,2397,G010.1711-00.3356,Rejected ,1.87,6.382000000000001,4.12,14.93,,,,,,,,MSX,,,
11,2409,G010.1823-00.4244,Rejected ,0.763,2.279,1.85,8.69,,,,,,,,MSX,,,
12,2403,G010.1850-00.3960,Diffuse HII region ,4.14,5.397,6.37,18.37,,,,,,,,MSX,,,
13,2395,G010.1880-00.3162,Diffuse HII region?,3.222,5.061,3.18,9.63,,,,11.1,3.5,Spe,4192,MSX,5.0,<8.0,
14,2411,G010.1913-00.4296,Diffuse HII region??,0.895,1.588,3.28,8.91,,,,,,,,MSX,,,
15,2410,G010.1960-00.4265,Rejected ,0.7559999999999999,3.466,5.64,21.26,,,,,,,,MSX,,,
17,2393,G010.2218-00.2945,Diffuse HII region??,1.369,2.593,1.28,4.62,,,,,,,,MSX,,,
18,2396,G010.2326-00.2963,Diffuse HII region ,0.496,3.04,5.27,16.26,,,,,,,,MSX,,,
19,2394,G010.2340-00.2890,Rejected ,0.991,1.939,0.92,3.83,,,,,,,,MSX,,,
20,2383,G010.3040-00.1466,Diffuse HII region ,10.762,24.563000000000002,22.73,100.88,,,,,,,,MSX,,,
21,2382,G010.3053-00.1439,Rejected ,0.552,13.437999999999999,20.68,26.22,,,,,,,,MSX,,,
22,2379,G010.3128-00.1117,Rejected ,0.43,0.9309999999999999,1.09,4.13,,,,,,,,MSX,,,
23,2398,G010.3204-00.2616,HII region ,1.1059999999999999,1.229,1.42,3.14,,,,32.1,3.75/12.78,,4790.6/55640.6,MSX,5.0,18.2,
24,2391,G010.3207-00.2329,HII region ,2.035,2.6910000000000003,3.08,7.96,14.0,10.1,7.9,32.5,3.77/12.76,,3750.7/42967.1,MSX,,,
27,2399,G010.3228-00.2657,Rejected ,0.10099999999999999,0.9520000000000001,1.47,3.64,,,,,,,,MSX,,,
28,2385,G010.3368-00.1454,Rejected ,1.719,4.939,5.56,13.75,,,,,,,,MSX,,,
29,2358,G010.3844+02.2128,YSO ,3.741,7.529,9.99,10.38,18.3,14.5,11.5,5.5,1.1,Kin,1178,MIPS/IGA,5.0,<0.4,
30,2371,G010.3930+00.5389,PN??,1.936,3.412,4.11,16.54,,,,,,,,MSX,5.0,2.2,
31,2376,G010.4413+00.0101,HII region ,1.129,3.068,3.91,9.91,,,,66.4,8.6,Par,25022,MSX,5.0,32.5,
32,2375,G010.4616+00.0327,HII region ,1.6909999999999998,4.128,4.26,15.15,,,,68.9,8.6,Par,38252,MSX,5.0,215.4,
33,2378,G010.4718+00.0206,HII region ,0.753,1.334,1.31,3.84,,,,67.4,8.6,Par,9696,MSX,5.0,<0.8,
34,2377,G010.4718+00.0256,HII region ,1.004,1.778,3.09,16.95,,,,66.7,8.6,Par,336100,MSX,,,
35,2432,G010.4984-00.7706,Evolved star ,0.409,0.9840000000000001,1.82,3.74,17.4,14.7,12.1,,,,,MSX,5.0,<0.5,
36,2360,G010.5067+02.2285,YSO ,0.342,0.885,1.24,3.25,,,,21.8,2.9,Kin,1657,MIPS/IGA,5.0,<0.5,
37,2423,G010.5887-00.4146,Rejected ,0.121,1.635,2.83,8.2,,,,,,,,MSX,,,
38,2440,G010.5956-00.8740,HII region?,0.20600000000000002,0.9690000000000001,1.48,5.47,15.1,12.2,12.6,29.1,3.5,Kin,2301,MSX,5.0,34.5,
39,2419,G010.5975-00.3838,Diffuse HII region ,5.632999999999999,21.881999999999998,30.53,78.77,,,,-2.5,2.4,Spe,7489,MIPS/IGA,5.0,<2.3,
40,2416,G010.6207-00.3199,Diffuse HII region ,0.222,0.7140000000000001,1.45,4.9,,,,-3.7,2.4,Spe,2405,MIPS/IGA,5.0,<1.3,
41,2422,G010.6212-00.3957,Rejected ,0.5720000000000001,2.35,3.08,7.38,,,,,,,,MSX,,,
42,2420,G010.6235-00.3834,HII region ,1.611,2.305,5.59,43.29,,,,-2.5,5,Par,394137,MSX,4.8,1,206.8
44,2417,G010.6291-00.3385,HII region ,3.7489999999999997,6.047999999999999,7.3,29.58,,,,-4.5,5,Par,29795,MIPS/IGA,5.0,25.2,
45,2421,G010.6311-00.3864,HII region ,1.629,2.434,3.64,15.25,,,,-3.5,5,Par,12906,MSX,5.0,<1.9,
46,2426,G010.6387-00.4349,Diffuse HII region?,0.364,1.329,2.6,5.74,,,,,,,,MSX,,,
48,2503,G010.8181-01.8272,PN ,1.159,1.242,6.54,10.71,9.5,8.2,7.4,,,,,MSX,,,
49,2452,G010.8369-00.9650,Diffuse HII region ,0.20800000000000002,1.013,2.27,9.32,,,,,,,,MSX,,,
50,2704,G010.8407-03.8148,Evolved star?,3.6489999999999996,5.795,6.88,7.13,14.9,13.0,9.9,,,,,MSX,5.0,<0.6,
51,2584,G010.8411-02.5919,YSO ,10.935,21.781,36.43,173.66,16.3,13.2,9.7,12.3,1.9,Kin,23737,MIPS/IGA,9.0,3.6,
52,2585,G010.8432-02.6041,HII region ,6.121,8.55,6.0,33.74,11.6,10.7,10.1,12.6,2,Kin,4477,MSX,,,
53,2366,G010.8837+01.4997,OH/IR star?,0.75,3.182,6.02,10.34,,,,,,,,MSX,5.0,<0.7,
54,2389,G010.8856+00.1221,YSO ,2.2430000000000003,5.303,10.0,18.86,15.6,12.9,9.6,19.7,2.7,Kin,5475,MIPS/IGA,5.0,<1.0,
55,2365,G010.9257+01.6294,OH/IR star ,5.04,9.584,17.52,17.9,,,,7.1,1.2,Kin,966,MSX,5.0,<0.7,
56,2406,G010.9592+00.0217,HII region ,0.34700000000000003,1.617,3.34,12.58,,,,21.4,13.7,Kin,125957,MIPS/IGA,5.0,196,
57,2408,G010.9657+00.0083,HII region ,1.952,4.838,5.82,11.42,,,,19.2,2.6,Kin,1893,MIPS/IGA,5.0,68.7,
58,2370,G011.0064+00.9220,Evolved star ,5.598,8.76,13.04,13.44,,,,,,,,MSX,,,
59,2407,G011.0340+00.0629,HII region ,2.029,6.041,7.58,19.87,,,,15.4,14.2,Kin,101612,MSX,,,
60,2415,G011.0454-00.0670,Evolved star ,1.25,2.204,3.27,4.26,,,,30.1,3.48/13,,1781.9/24866.7,MSX,5.0,<1.3,
61,2427,G011.0732-00.2295,Diffuse HII region ,0.89,1.514,1.95,7.19,,,,29.3,3.43/13.06,,1705.9/24731.7,MIPS/IGA,5.0,<1.3,
62,2430,G011.1109-00.4001,HII region ,5.052,11.196,16.47,68.05,,,,-1.1,5,Par,22316,MIPS/IGA,5.0,50,
63,2413,G011.1161+00.0514,Evolved star ,0.675,0.7759999999999999,1.11,2.91,,,,21.7,2.82/13.66,,799.3/18754.7,MSX,5.0,<1.2,
64,2418,G011.1723-00.0656,HII region ,1.158,2.206,1.86,4.26,,,,22.5,13.6,Kin,24733,MIPS/IGA,5.0,71,
65,2388,G011.1783+00.2937,Evolved star ,1.61,2.319,2.65,4.7,12.2,10.1,8.5,,,,,MSX,5.0,<1.0,
66,2356,G011.1827+03.1563,Evolved star ,3.855,5.417000000000001,7.04,8.34,16.4,12.8,9.0,,,,,MSX,5.0,<0.8,
68,2454,G011.2687-00.8410,OH/IR star ,3.779,8.314,12.04,14.98,11.3,10.8,9.2,33.0,3.6,Kin,6855,MSX,5.0,<0.7,
69,2412,G011.2907+00.1523,Evolved star ,1.729,3.22,3.5,4.56,10.8,9.6,9.0,,,,,MSX,5.0,<0.8,
70,2532,G011.3252-01.8040,Young/old star?,4.148,8.774,12.27,14.72,17.7,16.6,14.2,9.0,1.5,Kin,27628,MIPS/IGA,5.0,<0.5,
71,2457,G011.3743-00.8503,Evolved star ,0.5429999999999999,1.27,2.51,2.72,,,,29.9,3.4,Kin,1099,MSX,5.0,<0.5,
72,2520,G011.3757-01.6770,HII region ,2.778,3.8810000000000002,2.62,6.22,,,,7.7,1.3,Kin,363,MSX,5.0,<0.7,
73,2425,G011.3763-00.0216,OH/IR star ,1.525,2.441,3.54,3.38,14.7,13.0,11.6,,,,,MSX,5.0,<0.9,
74,2387,G011.4136+00.4298,OH/IR star ,0.41600000000000004,2.151,4.04,7.94,,,,32.1,3.56/12.91,,3475.6/45707.1,MSX,5.0,<0.4,
75,2525,G011.4201-01.6815,HII/YSO??,5.353,8.249,13.46,98.36,14.8,14.0,11.5,9.2,1.5,Kin,7542,MSX,5.0,3.2,
76,2689,G011.4472-03.1256,OH/IR star ,4.38,5.966,7.37,9.84,15.2,13.1,9.8,,,,,MSX,5.0,<0.7,
77,2527,G011.4890-01.6557,HII region?,1.2570000000000001,1.162,1.33,9.2,,,,11.2,1.7,Kin,951,MSX,,,
78,2510,G011.5001-01.4857,YSO ,5.379,8.432,8.15,40.7,13.1,11.4,10.3,10.6,1.7,Kin,2217,MIPS/IGA,5.0,<0.6,
79,2424,G011.5602+00.0873,OH/IR star ,1.444,10.975999999999999,32.8,123.6,10.4,8.3,7.1,,,,,MSX,5.0,0,
80,2428,G011.6344-00.0647,HII region??,0.271,1.746,3.22,5.95,,,,6.3,1.1,Kin,325,MSX,,,
81,2538,G011.6551-01.7505,HII region?,0.879,1.3459999999999999,1.24,2.7,10.3,8.4,7.2,,,,,MSX,,,
82,2458,G011.7438-00.6502,PN ,1.706,2.77,4.16,4.57,11.8,11.6,10.3,,,,,MSX,5.0,156.9,
83,2372,G011.7527+01.2362,Evolved star ,1.883,2.997,3.24,4.64,12.7,10.0,7.8,,,,,MSX,,,
84,2436,G011.7588-00.1502,HII region ,0.523,0.7659999999999999,0.89,3.72,,,,59.1,11.6,Kin,14072,MSX,,,
85,2433,G011.8010-00.0834,Evolved star ,0.483,0.823,0.8,2.89,15.3,11.4,9.2,,,,,MSX,,,
88,2364,G011.8974+02.1862,OH/IR star?,3.9389999999999996,8.201,10.8,12.86,13.3,11.8,10.5,,,,,MSX,5.0,<0.6,
89,2384,G011.9019+00.7265,YSO?,1.371,2.042,2.53,5.64,16.0,13.6,11.3,24.3,2.9,Kin,502,MIPS/IGA,5.0,<0.7,
90,2381,G011.9033+00.7417,Diffuse HII region ,0.491,3.165,5.4,12.59,,,,24.2,2.9,Kin,4093,MIPS/IGA,5.0,<0.7,
91,2468,G011.9373-00.6165,HII region ,6.705,12.106,17.25,111.8,,,,37.0,3.8,Kin,83444,MSX,5.0,1,155.9
92,2435,G011.9454-00.0373,HII region ,7.473,34.512,47.85,110.71,15.5,13.4,11.1,39.1,12.5,Kin,137920,MIPS/IGA,5.0,453.4,
93,2443,G011.9509-00.1615,Diffuse HII region ,0.285,0.71,1.2,3.71,,,,,,,,MSX,,,
94,2354,G011.9764+04.2327,PN ,1.329,5.234,5.98,10.32,12.3,11.9,11.1,,,,,MSX,,,
95,2450,G011.9920-00.2731,YSO ,1.0759999999999998,1.247,1.87,3.06,,,,60.6,11.5,Kin,26361,MSX,,,
96,2437,G012.0260-00.0317,YSO ,0.797,1.6480000000000001,3.05,5.61,16.0,14.8,13.1,110.8,11.1,Kin,34775,MIPS/IGA,8.6,<0.4,
97,2451,G012.0653-00.2853,Diffuse HII region ,0.33799999999999997,-0.6579999999999999,0.81,2.79,,,,,,,,MSX,,,
98,2374,G012.1177+01.1966,PN ,0.172,0.8320000000000001,1.61,7.3,13.2,12.1,11.3,,,,,MSX,5.0,63.6,
99,2531,G012.1739-01.3252,Evolved star?,2.775,4.024,4.66,5.47,16.3,12.5,9.2,,,,,MSX,5.0,<0.5,
100,2446,G012.1917-00.1029,Diffuse HII region ,2.063,6.683,8.66,18.27,,,,27.0,3.09/13.33,,4067.5/75695.5,MIPS/IGA,5.0,<1.7,
101,2449,G012.1953-00.1346,Rejected ,0.413,1.382,1.32,4.75,,,,,,,,MSX,,,
102,2447,G012.1956-00.1266,Diffuse HII region ,0.35100000000000003,2.7910000000000004,5.49,11.47,,,,,,,,MSX,,,
105,2359,G012.2079+03.2142,Evolved star ,1.7690000000000001,2.083,2.56,3.78,10.6,9.2,8.0,,,,,MSX,,,
107,2438,G012.2850+00.1031,OH/IR star ,12.517000000000001,18.474,23.46,23.98,15.2,13.7,12.3,,,,,MSX,5.0,<1.3,
108,2448,G012.3739-00.0351,Evolved star ,2.863,3.949,8.04,8.62,,,,20.2,2.52/13.89,,1890.7/57441.7,MSX,5.0,<1.0,
109,2459,G012.3821-00.3028,Evolved star ,0.68,1.2409999999999999,1.36,3.12,,,,,,,,MSX,5.0,<1.3,
110,2521,G012.4314-01.1117,HII region ,2.371,1.9880000000000002,4.44,53.45,,,,39.7,3.9,Kin,146106,MIPS/IGA,5.0,105.2,
111,2524,G012.4909-01.0962,Other ,0.42100000000000004,0.8490000000000001,1.88,8.22,11.7,9.3,8.1,,,,,MSX,,,
112,2494,G012.5932-00.5708,Young/old star?,2.384,4.54,5.84,7.73,15.1,13.2,10.1,15.9,2.1,Kin,668,MIPS/IGA,5.0,<0.5,
116,2463,G012.6833-00.1834,Diffuse HII region ,0.5720000000000001,2.4819999999999998,4.24,17.68,,,,,,,,MSX,,,
117,2439,G012.6900+00.2879,Evolved star ,1.248,2.186,2.74,3.7,17.1,15.5,12.4,31.3,3.32/13.07,,1408.7/21831.4,MSX,5.0,<0.9,
118,2474,G012.6922-00.2498,Evolved star ,0.172,1.163,1.68,5.19,11.6,9.5,8.4,,,,,MSX,,,
119,2460,G012.7232-00.1209,Rejected ,0.452,0.904,0.91,2.94,,,,,,,,MSX,,,
120,2462,G012.7248-00.1581,Rejected?,0.542,1.4580000000000002,1.02,5.1,,,,,,,,MSX,,,
121,2464,G012.7297-00.1633,Rejected ,0.6859999999999999,0.88,1.46,4.81,,,,,,,,MSX,,,
125,2467,G012.7529-00.1668,Rejected ,0.20600000000000002,-0.601,1.14,3.86,,,,,,,,MSX,,,
126,2414,G012.7589+00.8954,OH/IR star ,8.222000000000001,28.73,51.52,57.46,15.9,14.1,12.7,15.6,2.1,Kin,8422,MSX,5.0,<0.5,
127,2469,G012.7663-00.1726,Rejected ,0.213,-0.9309999999999999,0.79,4.79,,,,,,,,MSX,,,
128,2441,G012.7720+00.3038,OH/IR star ,3.1189999999999998,4.341,6.05,6.76,16.6,13.8,10.0,18.7,2.35/14.04,,1289.4/46025.9,MSX,5.0,<1.2,
129,2466,G012.7737-00.1527,Diffuse HII region ,1.315,8.025,17.6,49.59,,,,45.1,4.1/12.28,,28792.5/258290.5,MSX,5.0,<4.3,
130,2472,G012.7879-00.1786,YSO??,3.967,6.2410000000000005,7.56,28.27,12.7,11.5,10.8,35.4,2.4,Par,5624,MSX,,,
131,2476,G012.7890-00.2185,Diffuse HII region?,4.037,5.858,6.22,20.27,,,,35.5,2.4,Par,4033,MSX,5.0,<6.2,
132,2475,G012.8062-00.1987,HII region ,21.225,69.329,124.97,679.38,,,,36.5,2.4,Par,129760,MSX,5.0,6,290.8
133,2477,G012.8072-00.2231,Rejected ,9.603,30.955,41.69,187.16,,,,,,,,MSX,,,
134,2482,G012.8170-00.2479,Rejected ,0.231,1.547,1.03,8.35,,,,,,,,MSX,,,
135,2461,G012.8172-00.0934,Other ,0.757,1.798,2.48,2.7,15.0,10.9,9.0,27.9,2.4,Par,537,MSX,,,
136,2429,G012.8269+00.5428,Rejected ,0.122,1.035,2.05,7.08,,,,,,,,MSX,,,
137,2473,G012.8296-00.1719,Diffuse HII region ,1.685,1.67,2.18,6.24,,,,35.4,2.4,Par,1241,MSX,5.0,<5.3,
138,2487,G012.8600-00.2737,HII region ,1.663,2.125,4.65,28.72,17.9,15.8,13.6,36.8,2.4,Par,4161,MIPS/IGA,5.0,<4.1,
139,2485,G012.8678-00.2339,Rejected ,0.377,2.735,5.35,13.78,,,,,,,,MSX,,,
140,2480,G012.8903-00.1954,Rejected ,0.311,0.584,1.02,3.56,,,,,,,,MSX,,,
144,2490,G012.9090-00.2607,YSO ,15.651,23.209,49.59,143.99,15.3,13.2,9.2,36.7,2.4,Par,32072,MIPS/IGA,5.0,<2.4,
145,2492,G012.9134-00.2835,Rejected ,0.88,1.499,1.43,5.39,,,,,,,,MSX,,,
146,2479,G013.0105-00.1267,Evolved star?,2.399,3.175,5.81,7.13,18.0,17.3,12.1,10.9,1.55/14.82,,290.4/26545.0,MIPS/IGA,5.0,<1.9,
147,2357,G013.1172+04.1507,PN ,0.37799999999999995,-0.9109999999999999,2.97,5.06,12.7,12.6,11.6,,,,,MSX,5.0,70.2,
148,2353,G013.1443+05.0644,OH/IR star ,4.7410000000000005,7.312,10.03,12.28,16.6,15.6,14.9,,,,,MSX,5.0,<0.6,
151,2470,G013.1842+00.0450,Diffuse HII region ,2.8369999999999997,18.9,31.14,48.59,,,,,,,,MSX,,,
152,2471,G013.1885+00.0395,Rejected ,3.8789999999999996,16.647000000000002,24.88,43.42,,,,,,,,MSX,,,
153,2493,G013.2097-00.1436,Diffuse HII region ,2.593,1.869,2.44,18.21,,,,53.1,4.41/11.94,,30825.2/225963.3,MIPS/IGA,5.0,<1.2,
155,2442,G013.2857+00.5723,Evolved star ,1.411,2.367,2.82,2.97,17.3,15.2,13.3,,,,,MSX,5.0,<0.5,
156,2369,G013.2978+02.4742,OH/IR star ,3.228,4.614,5.88,7.34,17.1,15.1,11.3,,,,,MSX,5.0,<0.5,
157,2491,G013.3310-00.0407,YSO ,0.8170000000000001,1.474,2.08,4.4,15.7,12.2,9.8,54.7,4.5,Kin,3696,MIPS/IGA,5.0,<1.0,
158,2684,G013.3794-02.0278,Evolved star?,2.8139999999999996,4.04,4.68,5.58,,,,,,,,MSX,,,
159,2481,G013.3852+00.0663,Diffuse HII region ,4.52,13.984000000000002,17.38,29.84,,,,,,,,MSX,,,
160,2361,G013.4930+03.9153,OH/IR star ,3.24,5.216,5.78,6.79,14.4,12.4,10.4,,,,,MSX,5.0,<0.7,
161,2499,G013.5428-00.1815,Diffuse HII region ,0.6709999999999999,1.239,1.94,3.57,,,,,,,,MSX,,,
162,2483,G013.6313+00.1937,HII region ,1.575,2.307,2.03,4.93,,,,28.2,13.3,Kin,24439,MSX,5.0,16.6,
163,2536,G013.6562-00.5997,YSO ,1.87,4.137,6.27,17.95,16.2,14.2,11.5,47.4,4.1,Kin,13837,MIPS/IGA,5.0,<0.5,
164,2498,G013.7119-00.0828,Diffuse HII region ,0.823,0.9840000000000001,0.93,4.02,,,,,,,,MSX,,,
165,2515,G013.8315-00.3047,Evolved star ,1.35,1.641,1.93,3.21,13.4,12.1,10.9,39.3,3.66/12.66,,1485.2/17769.8,MSX,5.0,<0.7,
166,2486,G013.8770+00.2811,Diffuse HII region ,15.452,45.36600000000001,53.2,183.59,,,,,,,,MSX,,,
167,2537,G013.8885-00.4760,Diffuse HII region ,0.612,2.1430000000000002,3.99,25.17,,,,22.7,2.56/13.75,,4069.8/117407.8,MIPS/IGA,5.0,<0.5,
168,2501,G013.9090-00.0622,Evolved star ,5.065,14.064,15.38,16.74,12.8,8.5,6.1,,,,,MSX,,,
169,2508,G013.9618-00.1476,Diffuse HII region?,0.6629999999999999,1.345,2.48,8.14,,,,,,,,MSX,,,
170,2504,G013.9817-00.1200,Rejected ,1.158,3.242,4.41,15.86,,,,,,,,MSX,,,
171,2362,G013.9844+03.6844,Evolved star ,1.984,2.9819999999999998,3.25,3.88,15.4,14.2,11.1,,,,,MSX,5.0,<0.5,
172,2506,G013.9858-00.1243,Rejected ,1.5090000000000001,6.165,8.88,25.99,,,,,,,,MSX,,,
174,2509,G013.9907-00.1343,Rejected ,3.01,8.283999999999999,10.71,25.49,,,,,,,,MSX,,,
175,2505,G013.9925-00.1193,Rejected ,0.7859999999999999,2.94,4.1,11.88,,,,,,,,MSX,,,
177,2540,G014.0329-00.5155,YSO ,3.2760000000000002,5.284,5.16,9.61,16.6,13.7,10.8,20.3,1.1,Par,1049,MIPS/IGA,5.0,<0.8,
178,2560,G014.0334-00.6594,Evolved star?,0.32899999999999996,1.6280000000000001,2.86,3.03,,,,21.1,2.4,Kin,608,MSX,5.0,<0.5,
180,2500,G014.1035+00.0907,HII region ,1.859,3.943,4.25,13.13,,,,9.5,1.32/14.97,,790.2/101629.8,MSX,5.0,24.6,
181,2502,G014.1742+00.0226,Diffuse HII region ,1.3780000000000001,2.526,1.96,4.22,,,,12.6,1.64/14.65,,1022.0/81556.5,MIPS/IGA,5.0,<0.8,
182,2496,G014.1838+00.2208,Evolved star ,4.831,9.997,14.09,21.41,13.9,11.3,9.4,,,,,MSX,5.0,<0.7,
183,2517,G014.2071-00.1105,Diffuse HII region ,0.866,1.599,1.23,2.88,,,,38.5,3.56/12.73,,3637.3/46509.2,MIPS/IGA,5.0,<0.8,
184,2571,G014.2166-00.6344,YSO ,1.3780000000000001,2.296,1.79,3.08,14.7,11.7,9.5,19.8,1.1,Par,265,MIPS/IGA,5.0,<0.7,
185,2552,G014.2172-00.5336,Diffuse HII region ,0.767,1.251,1.49,4.7,,,,,,,,MSX,,,
188,2562,G014.2428-00.5543,HII region??,0.54,0.659,1.17,5.16,17.4,15.0,12.9,20.3,1.1,Par,1298,MSX,,,
189,2363,G014.2830+03.7954,PN ,0.282,1.57,4.2,10.36,13.8,13.0,12.7,,,,,MSX,,,
190,2605,G014.3029-01.0274,Evolved star ,0.319,-0.573,0.86,3.2,8.6,8.6,8.5,,,,,MSX,,,
191,2578,G014.3313-00.6397,HII region ,2.9010000000000002,3.658,4.15,31.39,18.2,15.2,12.8,22.5,1.1,Par,1916,MIPS/IGA,5.0,<0.5,
192,2518,G014.3909-00.0216,HII region ,0.907,1.486,1.41,3.04,,,,23.1,2.5,Kin,979,MSX,5.0,42.9,
193,2586,G014.4335-00.6969,YSO ,7.164,13.984000000000002,19.34,31.08,15.6,11.5,8.4,17.5,1.1,Par,1285,MIPS/IGA,5.0,<0.5,
194,2526,G014.4372-00.0565,Diffuse HII region?,1.4769999999999999,2.9760000000000004,3.76,9.7,,,,,,,,MSX,,,
195,2533,G014.4797-00.1091,Diffuse HII region ,0.635,-0.6579999999999999,1.79,5.23,,,,,,,,MSX,,,
198,2507,G014.5304+00.1601,Evolved star?,2.461,4.291,5.44,6.67,10.1,8.0,7.0,,,,,MSX,,,
199,2697,G014.5534-01.6946,Evolved star?,3.679,5.093,7.37,7.66,16.9,15.9,11.5,,,,,MSX,5.0,<0.5,
200,2528,G014.5982+00.0202,HII region?,0.294,0.6990000000000001,1.65,4.67,,,,26.6,2.8,Kin,1864,MIPS/IGA,8.6,2.1,
201,2522,G014.5983+00.0576,Young/old star?,0.893,1.365,1.49,2.97,12.6,9.9,8.2,,,,,MSX,,,
202,2514,G014.6064+00.1150,Rejected ,0.28,1.351,2.85,8.38,,,,,,,,MSX,,,
203,2513,G014.6065+00.1252,Rejected ,0.247,0.7859999999999999,1.59,5.36,,,,,,,,MSX,,,
204,2529,G014.6087+00.0127,YSO ,1.5019999999999998,2.146,3.73,6.94,14.7,14.0,13.2,24.4,2.6,Kin,4852,MIPS/IGA,5.0,<0.6,
205,2516,G014.6121+00.1118,Rejected ,0.185,1.72,3.56,10.82,,,,,,,,MSX,,,
206,2488,G014.6211+00.6837,OH/IR star ,0.158,0.66,2.39,5.95,16.5,15.6,13.2,27.9,2.9,Kin,1681,MSX,5.0,<0.5,
207,2847,G014.6215-04.3791,PN ,0.22,-0.6729999999999999,1.29,3.07,13.3,13.2,12.3,,,,,MSX,,,
209,2523,G014.6371+00.0660,Evolved star?,0.391,0.882,0.8,3.28,,,,,,,,MSX,,,
210,2581,G014.6703-00.4795,Diffuse HII region?,0.135,0.537,1.01,3.39,,,,38.2,3.49/12.76,,1595.6/21329.1,MIPS/IGA,5.0,<0.5,
211,2570,G014.7783-00.3326,HII region?,0.225,0.772,1.22,4.8,,,,33.2,13.1,Kin,27664,MSX,5.0,18.2,
213,2592,G014.9513-00.6163,Rejected ,0.243,0.884,1.44,4.43,,,,,,,,MSX,,,
215,2644,G014.9696-00.7584,Rejected ,1.886,4.308,4.61,13.48,,,,,,,,MSX,,,
216,2635,G014.9740-00.7369,Rejected ,2.033,9.401,10.13,26.1,,,,,,,,MSX,,,
217,2678,G014.9778-00.9557,Evolved star ,34.234,47.07899999999999,67.34,232.23,5.1,4.5,4.1,,,,,MSX,,,
220,2647,G014.9938-00.7500,Rejected ,17.974,43.003,81.6,258.69,,,,,,,,MSX,,,
221,2611,G014.9958-00.6732,YSO ,24.753,36.801,41.45,98.85,12.7,9.8,7.3,19.4,2,Par,13385,MSX,5.0,<8.0,
222,2641,G014.9984-00.7385,Diffuse HII region?,9.267000000000001,30.998,45.29,119.9,,,,,,,,MSX,,,
223,2652,G015.0056-00.7903,Rejected??,1.31,1.624,2.69,8.39,,,,,,,,MSX,,,
224,2627,G015.0136-00.7037,Diffuse HII region ,27.168000000000003,31.212,62.92,376.57,,,,20.2,2,Par,50991,MSX,5.0,<10.4,
225,2664,G015.0261-00.8338,Rejected ,0.6779999999999999,1.465,1.07,4.15,,,,,,,,MSX,,,
226,2634,G015.0284-00.7074,Rejected ,82.29,185.77,326.91,526.54,,,,,,,,MSX,,,
227,2657,G015.0284-00.8127,Rejected ,0.37799999999999995,1.025,2.27,5.13,,,,,,,,MSX,,,
228,2630,G015.0286-00.6981,Diffuse HII region ,63.74100000000001,180.51,343.55,517.47,,,,,,,,MSX,8.6,<4.0,
229,2637,G015.0289-00.7118,Rejected ,75.013,146.52,225.76,331.57,,,,,,,,MSX,,,
230,2626,G015.0292-00.6947,Diffuse HII region ,35.111,174.04,272.77,558.3,,,,20.6,2,Par,75599,MSX,8.6,<4.0,
232,2668,G015.0315-00.8492,Rejected ,1.015,1.607,1.26,2.71,,,,,,,,MSX,,,
234,2653,G015.0324-00.7837,Rejected ,1.304,3.702,3.93,15.78,,,,,,,,MSX,,,
235,2654,G015.0324-00.7906,Rejected ,0.871,1.992,2.65,8.12,,,,,,,,MSX,,,
236,2621,G015.0357-00.6795,HII region ,41.376999999999995,123.69,264.91,1023.3,,,,19.2,2,Par,148701,MSX,4.8,32.6,
237,2660,G015.0358-00.8191,Rejected ,0.574,1.959,1.21,6.8,,,,,,,,MSX,,,
238,2656,G015.0371-00.8055,Rejected ,1.195,2.975,3.34,11.02,,,,,,,,MSX,,,
239,2669,G015.0403-00.8467,Rejected ,0.488,0.937,1.51,4.27,,,,,,,,MSX,,,
241,2623,G015.0439-00.6785,Rejected ,51.65,148.24,303.29,674.53,,,,,,,,MSX,,,
242,2620,G015.0444-00.6726,Diffuse HII region ,45.988,140.42,264.37,763.5,,,,,,,,MSX,,,
246,2613,G015.0683-00.6381,Rejected ,2.381,14.229000000000001,29.6,45.99,,,,,,,,MSX,,,
