,RMS ID,MSX Name,Source Type,Flux 8 (Jy),Flux 12 (Jy),Flux 14 (Jy),Flux 21 (Jy),J Mag.,H Mag.,K Mag.,VLSR (km/s),Distance (kpc),D type,FIR Lum.,Lum. Source,Freq. (GHz),Int. Flux,Random?
1458,3549,G049.4779-00.3284,Diffuse HII region ,3.5460000000000003,16.795,28.13,142.97,,,,61.0,5.4,Par,61761,MIPS/IGA,5.0,<39.9,
1459,3562,G049.4788-00.3906,Rejected ,13.119000000000002,58.917,85.44,198.34,,,,,,,,MSX,,,
1462,3561,G049.4885-00.3799,HII region ,49.332,253.19,452.59,1423.8,,,,,5.4,Par,370000,MSX,5.0,7,951.9
1463,3559,G049.4903-00.3694,HII region ,129.57,487.77,914.06,2687.9,12.9,11.0,8.8,59.5,5.4,Par,512580,MSX,4.8,22.1,
1464,3570,G049.4918-00.4146,Rejected ,2.1919999999999997,8.738999999999999,10.16,28.87,,,,,,,,MSX,,,
1465,3554,G049.4952-00.3422,Diffuse HII region ,3.9219999999999997,8.58,6.57,17.54,,,,61.3,5.4,Par,17666,MSX,5.0,<27.9,
1466,3577,G049.4970-00.4718,HII region ,1.633,2.2,2.24,15.1,,,,58.1,5.4,Par,7144,MIPS/IGA,5.0,<6.8,
1467,3564,G049.5053-00.3792,Rejected ,3.6639999999999997,9.945,11.5,29.32,,,,,,,,MSX,,,
1468,3567,G049.5347-00.3780,Diffuse HII region?,2.049,8.277000000000001,10.07,40.63,,,,,,,,MSX,,,
1469,3572,G049.5373-00.3929,HII region ,13.368,47.206,95.58,248.5,,,,60.5,5.4,Par,131670,MSX,5.0,<7.8,
1470,3558,G049.5531-00.3302,HII region ,3.238,8.139,9.72,30.41,,,,62.1,5.4,Par,11417,MIPS/IGA,5.0,<13.6,
1471,3547,G049.5722-00.2737,HII region ,1.931,3.043,1.98,4.8,14.7,15.0,13.4,52.7,5.4,Par,18167,MIPS/IGA,5.0,<0.8,
1472,3565,G049.5757-00.3519,Rejected ,1.811,2.531,3.03,13.28,,,,,,,,MSX,,,
1473,3573,G049.5849-00.3837,HII region ,5.019,21.583000000000002,36.21,115.41,,,,52.2,5.4,Par,44586,MIPS/IGA,5.0,<9.7,
